SNo,Country,Confirmed,Deaths,Recovered
1004,Mainland China,79,1,12
1005,Mainland China,69,1,4
1007,Mainland China,52,0,5
1008,Mainland China,45,0,15
1009,Mainland China,42,0,0
1014,South Korea,24,0,1
1015,Mainland China,18,0,3
1034,US,2,0,0
1035,US,2,0,0
1036,US,2,0,0
1041,Mainland China,1,0,0
1046,US,1,0,0
1047,US,1,0,0
1048,US,1,0,0
1049,US,1,0,0
1050,US,1,0,0
1051,US,1,0,0
1052,Mainland China,29631,871,1795
1053,Mainland China,1131,1,141
1054,Mainland China,1075,0,201
1055,Mainland China,1033,6,153
1056,Mainland China,838,1,186
1057,Mainland China,779,1,72
1058,Mainland China,740,0,73
1059,Mainland China,468,2,51
1060,Mainland China,468,0,71
1061,Mainland China,444,1,63
1062,Mainland China,386,1,71
1063,Mainland China,326,2,37
1064,Mainland China,307,6,14
1065,Mainland China,293,1,44
1066,Mainland China,250,0,35
1067,Mainland China,208,0,25
1068,Mainland China,206,2,34
1069,Mainland China,195,1,18
1070,Mainland China,141,0,18
1071,Mainland China,131,3,19
1072,Mainland China,119,0,25
1073,Mainland China,107,0,12
1074,Mainland China,99,1,7
1075,Mainland China,91,1,4
1076,Mainland China,83,2,16
1077,Mainland China,78,1,12
1079,Mainland China,54,0,5
1080,Mainland China,45,0,13
1081,Mainland China,45,0,0
1086,South Korea,25,0,3
1087,Mainland China,18,0,3
1107,US,2,0,2
1108,US,2,0,0
1109,US,2,0,0
1118,US,1,0,0
1119,US,1,0,0
1120,US,1,0,0
1121,US,1,0,0
1122,US,1,0,1
1123,US,1,0,0
1124,Mainland China,31728,974,2222
1125,Mainland China,1159,1,167
1126,Mainland China,1092,0,242
1127,Mainland China,1073,6,191
1128,Mainland China,879,1,208
1129,Mainland China,830,3,88
1130,Mainland China,771,1,105
1131,Mainland China,492,0,81
1132,Mainland China,486,2,66
1133,Mainland China,466,1,66
1134,Mainland China,405,1,80
1135,Mainland China,337,2,44
1136,Mainland China,331,7,30
1137,Mainland China,299,1,48
1138,Mainland China,261,0,39
1139,Mainland China,218,2,41
1140,Mainland China,213,0,30
1141,Mainland China,210,1,24
1142,Mainland China,149,0,19
1143,Mainland China,138,3,19
1145,Mainland China,119,0,25
1146,Mainland China,109,1,10
1147,Mainland China,108,0,13
1148,Mainland China,95,1,8
1149,Mainland China,83,2,17
1150,Mainland China,80,1,13
1151,Mainland China,58,0,5
1152,Mainland China,49,0,13
1153,Mainland China,49,0,0
1157,South Korea,27,0,3
1159,Mainland China,18,0,3
1179,US,2,0,2
1180,US,2,0,0
1181,US,2,0,0
1190,US,1,0,0
1191,US,1,0,0
1192,US,1,0,0
1193,US,1,0,0
1194,US,1,0,1
1195,US,1,0,0
1196,Mainland China,33366,1068,2639
1197,Mainland China,1177,1,212
1198,Mainland China,1117,0,270
1199,Mainland China,1105,7,218
1200,Mainland China,912,1,247
1201,Mainland China,860,4,105
1202,Mainland China,804,1,128
1203,Mainland China,515,0,93
1204,Mainland China,505,3,79
1205,Mainland China,487,1,80
1206,Mainland China,417,1,85
1207,Mainland China,360,8,28
1208,Mainland China,342,3,48
1209,Mainland China,303,1,52
1210,Mainland China,267,0,45
1211,Mainland China,239,2,48
1212,Mainland China,219,0,32
1213,Mainland China,215,1,33
1214,Mainland China,153,0,20
1215,Mainland China,144,3,20
1217,Mainland China,127,1,17
1218,Mainland China,124,0,30
1219,Mainland China,111,0,19
1220,Mainland China,106,2,10
1221,Mainland China,86,2,24
1222,Mainland China,81,1,18
1223,Mainland China,58,0,5
1224,Mainland China,55,0,3
1225,Mainland China,53,0,22
1229,South Korea,28,0,3
1231,Mainland China,18,0,5
1251,US,2,0,2
1252,US,2,0,0
1253,US,2,0,0
1262,US,1,0,0
1263,US,1,0,0
1264,US,1,0,0
1265,US,1,0,0
1266,US,1,0,0
1267,US,1,0,1
1268,US,1,0,0
1269,Mainland China,33366,1068,2686
1270,Mainland China,1219,1,275
1271,Mainland China,1135,8,246
1272,Mainland China,1131,0,321
1273,Mainland China,946,2,304
1274,Mainland China,889,4,127
1275,Mainland China,844,1,152
1276,Mainland China,543,0,125
1277,Mainland China,518,3,102
1278,Mainland China,497,2,92
1279,Mainland China,436,1,92
1280,Mainland China,378,8,31
1281,Mainland China,352,3,56
1282,Mainland China,311,1,57
1283,Mainland China,272,0,53
1284,Mainland China,251,2,54
1285,Mainland China,225,0,43
1286,Mainland China,222,1,32
1288,Mainland China,157,4,27
1289,Mainland China,154,0,26
1290,Mainland China,133,1,18
1291,Mainland China,126,0,33
1292,Mainland China,116,1,20
1293,Mainland China,112,2,11
1294,Mainland China,87,2,31
1295,Mainland China,83,1,22
1296,Mainland China,60,0,6
1297,Mainland China,59,0,3
1298,Mainland China,58,0,24
1303,South Korea,28,0,7
1304,Mainland China,18,0,9
1324,US,2,0,2
1325,US,2,0,0
1326,US,2,0,0
1335,US,1,0,0
1336,US,1,0,0
1337,US,1,0,0
1338,US,1,0,0
1339,US,1,0,0
1340,US,1,0,1
1341,US,1,0,0
1342,Mainland China,48206,1310,3459
1343,Mainland China,1241,2,314
1344,Mainland China,1169,10,296
1345,Mainland China,1145,0,360
1346,Mainland China,968,2,339
1347,Mainland China,910,5,157
1348,Mainland China,872,1,170
1349,Mainland China,570,0,139
1350,Mainland China,529,4,128
1351,Mainland China,509,2,105
1352,Mainland China,451,1,104
1353,Mainland China,395,9,33
1354,Mainland China,366,3,69
1355,Mainland China,315,1,62
1356,Mainland China,279,0,57
1357,Mainland China,265,3,68
1358,Mainland China,229,0,46
1359,Mainland China,222,2,33
1361,Mainland China,157,4,30
1362,Mainland China,156,0,27
1363,Mainland China,135,1,27
1364,Mainland China,126,0,36
1365,Mainland China,119,3,21
1366,Mainland China,117,1,22
1367,Mainland China,90,2,39
1368,Mainland China,84,1,24
1369,Mainland China,64,0,24
1370,Mainland China,63,1,6
1371,Mainland China,61,0,6
1376,South Korea,28,0,7
1378,Mainland China,18,0,11
1397,US,2,0,2
1398,US,2,0,0
1399,US,2,0,0
1400,US,2,0,0
1409,US,1,0,0
1410,US,1,0,0
1411,US,1,0,0
1412,US,1,0,0
1413,US,1,0,0
1414,US,1,0,1
1415,US,1,0,0
1416,Mainland China,54406,1457,4774
1417,Mainland China,1261,2,362
1418,Mainland China,1184,11,357
1419,Mainland China,1155,0,403
1420,Mainland China,988,2,364
1421,Mainland China,934,6,193
1422,Mainland China,900,1,187
1423,Mainland China,593,0,157
1424,Mainland China,537,5,152
1425,Mainland China,523,2,136
1426,Mainland China,463,1,114
1427,Mainland China,419,11,47
1428,Mainland China,372,3,80
1429,Mainland China,318,1,90
1430,Mainland China,283,3,87
1431,Mainland China,281,0,63
1432,Mainland China,230,0,54
1433,Mainland China,226,2,36
1435,Mainland China,162,0,36
1436,Mainland China,159,4,43
1437,Mainland China,140,1,28
1438,Mainland China,127,0,38
1439,Mainland China,120,3,31
1440,Mainland China,119,1,29
1441,Mainland China,90,2,39
1442,Mainland China,86,1,25
1443,Mainland China,67,0,24
1445,Mainland China,65,0,6
1446,Mainland China,65,1,6
1450,South Korea,28,0,7
1452,Mainland China,18,0,11
1471,US,2,0,2
1472,US,2,0,0
1473,US,2,0,0
1474,US,2,0,0
1480,Mainland China,1,0,1
1484,US,1,0,0
1485,US,1,0,0
1486,US,1,0,0
1487,US,1,0,0
1488,US,1,0,0
1489,US,1,0,1
1490,US,1,0,0
1491,Mainland China,56249,1596,5623
1492,Mainland China,1294,2,410
1493,Mainland China,1212,13,391
1494,Mainland China,1162,0,428
1495,Mainland China,1001,2,425
1496,Mainland China,950,6,221
1497,Mainland China,913,1,210
1498,Mainland China,604,0,186
1499,Mainland China,544,5,184
1500,Mainland China,532,2,156
1501,Mainland China,470,1,119
1502,Mainland China,425,11,68
1503,Mainland China,375,4,98
1504,Mainland China,326,1,124
1505,Mainland China,291,3,101
1506,Mainland China,285,0,71
1508,Mainland China,235,2,44
1509,Mainland China,232,0,60
1510,Mainland China,168,0,42
1511,Mainland China,162,4,39
1512,Mainland China,143,1,41
1513,Mainland China,128,0,46
1514,Mainland China,122,3,37
1515,Mainland China,119,1,31
1516,Mainland China,90,2,49
1517,Mainland China,88,1,26
1519,Mainland China,70,0,33
1520,Mainland China,70,1,10
1521,Mainland China,68,0,7
1525,South Korea,28,0,9
1527,Mainland China,18,0,13
